n	x	u	y	u - y
0	1	1	1	0
1	1	1.1	1.1	0.00062
2	1	1.1	1.1	0.0013
3	1.1	1.2	1.2	0.0019
4	1.1	1.2	1.2	0.0026
5	1.1	1.3	1.3	0.0033
6	1.1	1.3	1.3	0.004
7	1.2	1.4	1.4	0.0047
8	1.2	1.4	1.4	0.0054
9	1.2	1.5	1.5	0.0061
10	1.2	1.6	1.6	0.0069
11	1.3	1.6	1.6	0.0077
12	1.3	1.7	1.7	0.0084
13	1.3	1.7	1.8	0.0092
14	1.3	1.8	1.8	0.01
15	1.4	1.9	1.9	0.011
16	1.4	1.9	2	0.012
17	1.4	2	2	0.012
18	1.4	2.1	2.1	0.013
19	1.5	2.2	2.2	0.014
20	1.5	2.2	2.2	0.015
21	1.5	2.3	2.3	0.016
22	1.5	2.4	2.4	0.017
23	1.6	2.5	2.5	0.018
24	1.6	2.5	2.6	0.019
25	1.6	2.6	2.6	0.02
26	1.6	2.7	2.7	0.02
27	1.7	2.8	2.8	0.021
28	1.7	2.9	2.9	0.022
29	1.7	3	3	0.023
30	1.7	3	3.1	0.024
31	1.8	3.1	3.2	0.025
32	1.8	3.2	3.2	0.026
33	1.8	3.3	3.3	0.027
34	1.8	3.4	3.4	0.028
35	1.9	3.5	3.5	0.029
36	1.9	3.6	3.6	0.03
37	1.9	3.7	3.7	0.031
38	1.9	3.8	3.8	0.032
39	2	3.9	3.9	0.033
40	2	4	4	0.034
