n	x	u	uCor	y	u - y
0	1	1	1	1	0
1	1.05	1.1	1.22	1.1	0.117
2	1.1	1.2	1.46	1.21	0.247
3	1.15	1.31	1.71	1.32	0.392
4	1.2	1.43	1.99	1.44	0.552
5	1.25	1.55	2.29	1.56	0.725
6	1.3	1.67	2.6	1.69	0.913
7	1.35	1.8	2.94	1.82	1.12
8	1.4	1.94	3.29	1.96	1.33
9	1.45	2.08	3.67	2.1	1.56
10	1.5	2.22	4.06	2.25	1.81
11	1.55	2.37	1	2.4	1.4
12	1.6	2.52	1.1	2.56	1.46
13	1.65	2.68	1.33	2.72	1.39
14	1.7	2.85	1.57	2.89	1.32
15	1.75	3.01	1.83	3.06	1.23
16	1.8	3.19	2.12	3.24	1.12
17	1.85	3.37	2.42	3.42	1.01
18	1.9	3.55	2.74	3.61	0.873
19	1.95	3.74	3.08	3.8	0.725
20	2	3.93	3.44	4	0.563
