n	x	u	uCor	y	u - y
0	1	1	1	1	0
1	1.02	1.05	1.22	1.05	0.168
2	1.05	1.1	1.46	1.1	0.355
3	1.07	1.15	1.71	1.16	0.559
4	1.1	1.21	1.99	1.21	0.782
5	1.12	1.26	2.29	1.27	1.02
6	1.15	1.32	2.6	1.32	1.28
7	1.17	1.38	2.94	1.38	1.56
8	1.2	1.43	3.29	1.44	1.85
9	1.22	1.49	3.67	1.5	2.17
10	1.25	1.56	4.06	1.56	2.5
11	1.27	1.62	1	1.63	0.626
12	1.3	1.68	1.1	1.69	0.585
13	1.32	1.75	1.33	1.76	0.427
14	1.35	1.81	1.57	1.82	0.25
15	1.37	1.88	1.83	1.89	0.0562
16	1.4	1.95	2.12	1.96	0.156
17	1.42	2.02	2.42	2.03	0.386
18	1.45	2.09	2.74	2.1	0.635
19	1.47	2.16	3.08	2.18	0.902
20	1.5	2.23	3.44	2.25	1.19
21	1.52	2.31	3.82	2.33	1.49
22	1.55	2.39	4.21	2.4	1.81
23	1.57	2.46	1.16	2.48	1.32
24	1.6	2.54	1.27	2.56	1.29
25	1.62	2.62	1.5	2.64	1.14
26	1.65	2.7	1.75	2.72	0.977
27	1.67	2.78	2.01	2.81	0.793
28	1.7	2.87	2.3	2.89	0.59
29	1.72	2.95	2.61	2.98	0.37
30	1.75	3.04	2.93	3.06	0.132
31	1.77	3.13	3.28	3.15	0.125
32	1.8	3.21	1	3.24	2.24
33	1.82	3.3	1.05	3.33	2.28
34	1.85	3.39	1.27	3.42	2.15
35	1.87	3.49	1.51	3.52	2
36	1.9	3.58	1.77	3.61	1.84
37	1.92	3.67	2.05	3.71	1.66
38	1.95	3.77	2.35	3.8	1.46
39	1.97	3.87	2.66	3.9	1.24
40	2	3.97	3	4	1
