n	x	u	y	u - y
0	1.00	1.00	1.00	0.00
1	1.05	1.10	1.10	0.00
2	1.10	1.20	1.21	0.01
3	1.15	1.31	1.32	0.01
4	1.20	1.43	1.44	0.01
5	1.25	1.55	1.56	0.01
6	1.30	1.67	1.69	0.02
7	1.35	1.80	1.82	0.02
8	1.40	1.94	1.96	0.02
9	1.45	2.08	2.10	0.03
10	1.50	2.22	2.25	0.03
11	1.55	2.37	2.40	0.03
12	1.60	2.52	2.56	0.04
13	1.65	2.68	2.72	0.04
14	1.70	2.85	2.89	0.04
15	1.75	3.01	3.06	0.05
16	1.80	3.19	3.24	0.05
17	1.85	3.37	3.42	0.06
18	1.90	3.55	3.61	0.06
19	1.95	3.74	3.80	0.06
20	2.00	3.93	4.00	0.07
18	1.900	3.550	3.610	0.060
19	1.950	3.739	3.803	0.064
20	2.000	3.932	4.000	0.068

19	1.95	3.73856	3.8025	0.0639408
20	2	3.93192	4	0.0680803
