n	x	u	y	u - y
0	1.00	1.00	1.00	0.00
1	1.02	1.05	1.05	0.00
2	1.05	1.10	1.10	0.00
3	1.07	1.15	1.16	0.00
4	1.10	1.21	1.21	0.00
5	1.12	1.26	1.27	0.00
6	1.15	1.32	1.32	0.00
7	1.17	1.38	1.38	0.00
8	1.20	1.43	1.44	0.01
9	1.22	1.49	1.50	0.01
10	1.25	1.56	1.56	0.01
11	1.27	1.62	1.63	0.01
12	1.30	1.68	1.69	0.01
13	1.32	1.75	1.76	0.01
14	1.35	1.81	1.82	0.01
15	1.37	1.88	1.89	0.01
16	1.40	1.95	1.96	0.01
17	1.42	2.02	2.03	0.01
18	1.45	2.09	2.10	0.01
19	1.47	2.16	2.18	0.01
20	1.50	2.23	2.25	0.02
21	1.52	2.31	2.33	0.02
22	1.55	2.39	2.40	0.02
23	1.57	2.46	2.48	0.02
24	1.60	2.54	2.56	0.02
25	1.62	2.62	2.64	0.02
26	1.65	2.70	2.72	0.02
27	1.67	2.78	2.81	0.02
28	1.70	2.87	2.89	0.02
29	1.72	2.95	2.98	0.02
30	1.75	3.04	3.06	0.02
31	1.77	3.13	3.15	0.03
32	1.80	3.21	3.24	0.03
33	1.82	3.30	3.33	0.03
34	1.85	3.39	3.42	0.03
35	1.87	3.49	3.52	0.03
36	1.90	3.58	3.61	0.03
37	1.92	3.67	3.71	0.03
38	1.95	3.77	3.80	0.03
39	1.97	3.87	3.90	0.03
40	2.00	3.97	4.00	0.03
.875	3.486	3.516	0.029
36	1.900	3.580	3.610	0.030
37	1.925	3.674	3.706	0.031
38	1.950	3.770	3.802	0.032
39	1.975	3.867	3.901	0.033
40	2.000	3.966	4.000	0.034
85	3.39431	3.4225	0.0281884
35	1.875	3.48643	3.51562	0.0291943
36	1.9	3.57979	3.61	0.0302086
37	1.925	3.67439	3.70562	0.0312311
38	1.95	3.77024	3.8025	0.0322617
39	1.975	3.86732	3.90062	0.0333003
40	2	3.96565	4	0.0343468
